#{"t_start": 1745850807.8479297, "env_id": "None"}
r,l,t
80.0,17,6.802564
32.0,17,6.812744
80.0,17,6.823454
32.0,17,6.833603
32.0,17,6.843625
80.0,17,6.852573
54.0,17,6.860853
54.0,17,6.869096
80.0,17,6.877086
54.0,17,6.884061
80.0,17,6.891453
80.0,17,6.901205
80.0,17,6.910907
80.0,17,6.920608
80.0,17,6.9303
54.0,17,6.94
32.0,17,6.949802
58.0,17,6.959616
80.0,17,6.969652
32.0,17,6.978423
32.0,17,6.986688
54.0,17,6.994769
54.0,17,7.001926
54.0,17,7.009351
54.0,17,7.01958
32.0,17,7.02977
80.0,17,7.039919
54.0,17,7.049862
54.0,17,7.059804
32.0,17,7.069609
54.0,17,7.079514
40.0,17,7.088401
32.0,17,7.096513
80.0,17,7.105417
54.0,17,7.112861
80.0,17,7.121042
32.0,17,7.130213
80.0,17,7.140063
32.0,17,7.149845
80.0,17,7.159569
54.0,17,7.169357
54.0,17,7.179174
80.0,17,7.188983
80.0,17,7.198678
80.0,17,7.206868
54.0,17,7.215278
80.0,17,7.224138
80.0,17,7.231894
80.0,17,7.239661
54.0,17,7.247197
54.0,17,7.255789
80.0,17,7.265873
32.0,17,7.275838
54.0,17,7.285765
32.0,17,7.29564
54.0,17,7.305409
32.0,17,7.315192
54.0,17,7.324891
32.0,17,7.333068
32.0,17,7.340601
32.0,17,7.348778
54.0,17,7.356585
54.0,17,7.364765
80.0,17,7.372187
54.0,17,7.382178
54.0,17,7.392143
80.0,17,7.402425
80.0,17,7.412434
80.0,17,7.422487
32.0,17,7.43255
80.0,17,7.442694
54.0,17,7.451413
54.0,17,7.460282
80.0,17,7.468788
54.0,17,7.47701
32.0,17,7.484285
32.0,17,7.49308
54.0,17,7.503141
54.0,17,7.513106
80.0,17,7.52294
80.0,17,7.532805
54.0,17,7.542587
54.0,17,7.55485
32.0,17,7.564574
80.0,17,7.573362
80.0,17,7.581631
80.0,17,7.589837
54.0,17,7.597768
54.0,17,7.607628
54.0,17,7.617541
58.0,17,7.627405
80.0,17,7.637431
80.0,17,7.647492
80.0,17,7.657553
54.0,17,7.667518
54.0,17,7.676046
32.0,17,7.684417
54.0,17,7.692596
58.0,17,7.70098
80.0,17,7.710843
54.0,17,7.720709
32.0,17,7.730543
32.0,17,7.740553
80.0,17,7.750155
54.0,17,7.75826
54.0,17,7.766669
36.0,17,7.773852
32.0,17,7.780868
32.0,17,7.790268
54.0,17,7.800159
54.0,17,7.809978
80.0,17,7.819804
32.0,17,7.829754
32.0,17,7.839781
32.0,17,7.849902
54.0,17,7.859585
54.0,17,7.867971
54.0,17,7.876573
54.0,17,7.885935
54.0,17,7.893239
54.0,17,7.900243
80.0,17,7.909701
54.0,17,7.919526
14.0,17,7.929286
80.0,17,7.939035
32.0,17,7.948658
32.0,17,7.958357
58.0,17,7.967973
32.0,17,7.97742
32.0,17,7.985501
54.0,17,7.993868
54.0,17,8.001368
54.0,17,8.009008
58.0,17,8.016472
80.0,17,8.024836
54.0,17,8.034192
32.0,17,8.044307
54.0,17,8.054523
54.0,17,8.065084
32.0,17,8.075159
32.0,17,8.085146
80.0,17,8.095022
32.0,17,8.103634
80.0,17,8.112236
54.0,17,8.121035
54.0,17,8.12857
80.0,17,8.136768
54.0,17,8.143895
80.0,17,8.151533
80.0,17,8.161311
54.0,17,8.170976
54.0,17,8.180719
58.0,17,8.190418
54.0,17,8.200221
54.0,17,8.211297
54.0,17,8.221232
54.0,17,8.229772
32.0,17,8.239757
54.0,17,8.247481
54.0,17,8.25457
54.0,17,8.263792
54.0,17,8.27391
80.0,17,8.283957
54.0,17,8.294037
32.0,17,8.303985
54.0,17,8.313783
54.0,17,8.324561
32.0,17,8.333675
54.0,17,8.342155
80.0,17,8.350503
54.0,17,8.358258
80.0,17,8.365624
80.0,17,8.372985
54.0,17,8.380019
54.0,17,8.388837
80.0,17,8.398484
54.0,17,8.408231
32.0,17,8.418013
80.0,17,8.427752
80.0,17,8.437597
54.0,17,8.44748
54.0,17,8.45703
54.0,17,8.46672
58.0,17,8.47545
54.0,17,8.483409
54.0,17,8.491193
32.0,17,8.498637
54.0,17,8.50573
54.0,17,8.515121
32.0,17,8.525148
80.0,17,8.535102
54.0,17,8.544957
80.0,17,8.554769
32.0,17,8.56449
80.0,17,8.574223
80.0,17,8.583363
32.0,17,8.591463
32.0,17,8.599607
80.0,17,8.608393
80.0,17,8.615982
80.0,17,8.623424
54.0,17,8.630417
54.0,17,8.639256
54.0,17,8.649015
54.0,17,8.658748
54.0,17,8.668567
32.0,17,8.678382
54.0,17,8.688228
32.0,17,8.698251
80.0,17,8.707997
80.0,17,8.716298
80.0,17,8.724976
54.0,17,8.733403
14.0,17,8.740512
54.0,17,8.74825
32.0,17,8.759491
32.0,17,8.769452
80.0,17,8.779306
80.0,17,8.789146
32.0,17,8.798817
58.0,17,8.808504
32.0,17,8.818053
54.0,17,8.826255
80.0,17,8.834475
32.0,17,8.842329
32.0,17,8.849576
54.0,17,8.857559
32.0,17,8.867353
32.0,17,8.877126
54.0,17,8.886954
54.0,17,8.896765
80.0,17,8.907858
54.0,17,8.918078
54.0,17,8.928061
32.0,17,8.936416
32.0,17,8.944911
80.0,17,8.952595
54.0,17,8.959939
32.0,17,8.96738
54.0,17,8.976725
54.0,17,8.986605
80.0,17,8.9964
54.0,17,9.006136
54.0,17,9.015778
54.0,17,9.025362
80.0,17,9.034952
54.0,17,9.044219
54.0,17,9.052194
80.0,17,9.060503
54.0,17,9.06809
54.0,17,9.075346
80.0,17,9.082374
54.0,17,9.091532
54.0,17,9.10144
58.0,17,9.11253
32.0,17,9.122524
32.0,17,9.132638
32.0,17,9.142844
32.0,17,9.15293
54.0,17,9.161715
54.0,17,9.170016
32.0,17,9.17817
32.0,17,9.185903
54.0,17,9.192839
32.0,17,9.200319
80.0,17,9.21187
32.0,17,9.221793
80.0,17,9.231651
54.0,17,9.241421
80.0,17,9.251175
54.0,17,9.263178
54.0,17,9.272478
54.0,17,9.280658
32.0,17,9.289141
58.0,17,9.296657
32.0,17,9.30415
54.0,17,9.311168
54.0,17,9.320184
80.0,17,9.330127
80.0,17,9.340105
32.0,17,9.350207
58.0,17,9.360221
58.0,17,9.370283
32.0,17,9.380263
54.0,17,9.389462
58.0,17,9.397542
54.0,17,9.406415
54.0,17,9.415537
54.0,17,9.422703
58.0,17,9.429759
80.0,17,9.439459
32.0,17,9.449151
32.0,17,9.458757
80.0,17,9.468333
58.0,17,9.477975
32.0,17,9.48767
32.0,17,9.497449
32.0,17,9.506086
80.0,17,9.514214
80.0,17,9.522451
80.0,17,9.529591
54.0,17,9.537034
32.0,17,9.547138
54.0,17,9.558691
32.0,17,9.568831
54.0,17,9.579016
80.0,17,9.589417
80.0,17,9.599473
54.0,17,9.609502
80.0,17,9.617911
54.0,17,9.626133
54.0,17,9.633975
54.0,17,9.641515
80.0,17,9.648519
32.0,17,9.655758
32.0,17,9.665503
32.0,17,9.67524
54.0,17,9.684957
80.0,17,9.695688
54.0,17,9.705573
32.0,17,9.715458
54.0,17,9.7254
32.0,17,9.734149
80.0,17,9.742473
32.0,17,9.750807
54.0,17,9.759297
54.0,17,9.767082
80.0,17,9.774429
54.0,17,9.781549
54.0,17,9.790864
58.0,17,9.800891
54.0,17,9.810832
80.0,17,9.820733
80.0,17,9.830558
80.0,17,9.841661
54.0,17,9.851474
54.0,17,9.860756
54.0,17,9.869095
54.0,17,9.877354
80.0,17,9.884554
32.0,17,9.891613
54.0,17,9.901327
54.0,17,9.911139
54.0,17,9.920978
32.0,17,9.930842
32.0,17,9.940783
54.0,17,9.950756
32.0,17,9.960818
80.0,17,9.970432
58.0,17,9.979023
32.0,17,9.988598
32.0,17,9.996661
32.0,17,10.003756
32.0,17,10.011144
54.0,17,10.02113
32.0,17,10.031002
54.0,17,10.040748
32.0,17,10.050567
32.0,17,10.060307
54.0,17,10.069963
32.0,17,10.079628
32.0,17,10.088699
80.0,17,10.096867
80.0,17,10.105514
80.0,17,10.113118
80.0,17,10.120353
80.0,17,10.130275
32.0,17,10.140264
80.0,17,10.150229
80.0,17,10.160278
32.0,17,10.170325
54.0,17,10.182175
54.0,17,10.192358
32.0,17,10.201668
54.0,17,10.21009
32.0,17,10.218412
54.0,17,10.226316
54.0,17,10.233366
80.0,17,10.240454
14.0,17,10.249764
32.0,17,10.259521
54.0,17,10.269283
54.0,17,10.280115
80.0,17,10.289967
54.0,17,10.299634
54.0,17,10.309436
80.0,17,10.318804
80.0,17,10.327041
80.0,17,10.335359
32.0,17,10.342979
54.0,17,10.350434
80.0,17,10.357485
54.0,17,10.366673
54.0,17,10.376788
32.0,17,10.386901
32.0,17,10.397111
54.0,17,10.407199
54.0,17,10.417215
54.0,17,10.427191
58.0,17,10.438007
32.0,17,10.446161
58.0,17,10.454577
54.0,17,10.461702
32.0,17,10.468631
32.0,17,10.478048
32.0,17,10.48778
54.0,17,10.498155
54.0,17,10.507874
14.0,17,10.517651
32.0,17,10.527438
54.0,17,10.53727
80.0,17,10.546599
54.0,17,10.554731
80.0,17,10.563275
80.0,17,10.57109
80.0,17,10.5783
54.0,17,10.585592
54.0,17,10.595353
32.0,17,10.605794
54.0,17,10.616043
54.0,17,10.626125
54.0,17,10.636105
54.0,17,10.647345
32.0,17,10.657295
54.0,17,10.666352
54.0,17,10.674938
58.0,17,10.683316
54.0,17,10.691071
80.0,17,10.698245
54.0,17,10.705266
54.0,17,10.714461
80.0,17,10.724059
54.0,17,10.733864
54.0,17,10.743587
80.0,17,10.753402
32.0,17,10.763246
54.0,17,10.773134
54.0,17,10.783008
32.0,17,10.792629
80.0,17,10.801239
54.0,17,10.808298
80.0,17,10.81568
58.0,17,10.825781
80.0,17,10.835999
32.0,17,10.846106
80.0,17,10.856238
32.0,17,10.866169
32.0,17,10.876038
80.0,17,10.886013
80.0,17,10.895236
54.0,17,10.903466
54.0,17,10.911808
32.0,17,10.919386
32.0,17,10.926986
32.0,17,10.935858
32.0,17,10.943055
58.0,17,10.951995
80.0,17,10.961693
58.0,17,10.97129
54.0,17,10.980982
54.0,17,10.990625
54.0,17,11.000362
80.0,17,11.010066
80.0,17,11.019695
54.0,17,11.027899
58.0,17,11.036418
80.0,17,11.043602
80.0,17,11.05054
80.0,17,11.060061
54.0,17,11.070118
54.0,17,11.08006
54.0,17,11.091152
54.0,17,11.101008
54.0,17,11.110834
54.0,17,11.120565
32.0,17,11.129625
80.0,17,11.137861
32.0,17,11.146194
54.0,17,11.153463
32.0,17,11.160367
54.0,17,11.169461
80.0,17,11.179285
32.0,17,11.189134
54.0,17,11.199008
80.0,17,11.208952
80.0,17,11.218918
80.0,17,11.228976
58.0,17,11.239752
54.0,17,11.248317
32.0,17,11.256915
80.0,17,11.264791
54.0,17,11.272583
54.0,17,11.279876
32.0,17,11.286951
32.0,17,11.296349
80.0,17,11.306241
54.0,17,11.315995
54.0,17,11.325687
58.0,17,11.335408
80.0,17,11.345151
54.0,17,11.354829
32.0,17,11.36413
80.0,17,11.372153
54.0,17,11.381818
80.0,17,11.390108
80.0,17,11.398031
32.0,17,11.405306
80.0,17,11.412883
54.0,17,11.422927
32.0,17,11.434616
32.0,17,11.444828
54.0,17,11.455081
54.0,17,11.465441
80.0,17,11.47579
80.0,17,11.486006
80.0,17,11.494537
80.0,17,11.502872
54.0,17,11.510535
32.0,17,11.520156
54.0,17,11.527308
80.0,17,11.536459
80.0,17,11.546129
32.0,17,11.555773
32.0,17,11.565387
54.0,17,11.575052
80.0,17,11.584646
32.0,17,11.594288
54.0,17,11.603581
54.0,17,11.61176
14.0,17,11.620006
80.0,17,11.627658
54.0,17,11.634882
80.0,17,11.641862
32.0,17,11.652563
54.0,17,11.662704
54.0,17,11.672687
80.0,17,11.682766
58.0,17,11.692804
32.0,17,11.70275
54.0,17,11.712621
54.0,17,11.721166
80.0,17,11.729313
80.0,17,11.737756
54.0,17,11.74547
32.0,17,11.752933
80.0,17,11.760304
32.0,17,11.767199
54.0,17,11.776195
54.0,17,11.785876
80.0,17,11.795479
54.0,17,11.806488
32.0,17,11.816203
58.0,17,11.826055
80.0,17,11.835889
80.0,17,11.844659
32.0,17,11.853171
54.0,17,11.861555
58.0,17,11.869341
54.0,17,11.876438
80.0,17,11.883584
80.0,17,11.893394
54.0,17,11.903427
32.0,17,11.913316
80.0,17,11.923118
32.0,17,11.932917
80.0,17,11.942701
54.0,17,11.953614
32.0,17,11.962271
54.0,17,11.970319
80.0,17,11.978964
54.0,17,11.986724
54.0,17,11.994062
80.0,17,12.001176
80.0,17,12.010108
54.0,17,12.019869
54.0,17,12.029691
32.0,17,12.039528
80.0,17,12.049389
54.0,17,12.059295
14.0,17,12.069291
32.0,17,12.079265
54.0,17,12.087605
54.0,17,12.095838
54.0,17,12.105159
32.0,17,12.112625
32.0,17,12.119796
80.0,17,12.1291
54.0,17,12.138913
58.0,17,12.148602
54.0,17,12.158256
58.0,17,12.167952
54.0,17,12.177564
54.0,17,12.187285
54.0,17,12.196873
54.0,17,12.204913
54.0,17,12.21316
32.0,17,12.22052
80.0,17,12.227991
54.0,17,12.235158
80.0,17,12.244761
32.0,17,12.254364
32.0,17,12.26352
32.0,17,12.272723
32.0,17,12.28187
54.0,17,12.291069
80.0,17,12.300256
80.0,17,12.309417
54.0,17,12.316818
54.0,17,12.324319
80.0,17,12.331101
32.0,17,12.337714
54.0,17,12.343802
32.0,17,12.3513
54.0,17,12.359588
54.0,17,12.367765
54.0,17,12.376584
32.0,17,12.384377
54.0,17,12.396064
54.0,17,12.411491
32.0,17,12.424762
54.0,17,12.436644
54.0,17,12.447435
80.0,17,12.457048
32.0,17,12.465868
