#{"t_start": 1745837767.579715, "env_id": "None"}
r,l,t
40.0,17,18.948011
62.0,17,18.948021
18.0,17,18.94803
48.0,17,18.948038
58.0,17,18.948046
26.0,17,18.948054
18.0,17,19.39874
62.0,17,19.398818
40.0,17,19.398832
62.0,17,19.39884
26.0,17,19.398848
26.0,17,19.398856
32.0,17,19.398871
36.0,17,19.398882
26.0,17,19.927883
32.0,17,19.928025
26.0,17,19.928044
58.0,17,19.928054
40.0,17,19.928062
44.0,17,19.928071
58.0,17,19.928079
26.0,17,19.928086
40.0,17,20.359893
26.0,17,20.360005
62.0,17,20.360028
40.0,17,20.360039
18.0,17,20.360047
40.0,17,20.360055
18.0,17,20.360063
40.0,17,20.36007
66.0,17,20.856074
40.0,17,20.856131
48.0,17,20.856146
40.0,17,20.856155
44.0,17,20.856164
66.0,17,20.856173
32.0,17,20.85618
48.0,17,20.856194
54.0,17,21.335803
44.0,17,21.335894
26.0,17,21.335906
66.0,17,21.335914
48.0,17,21.335922
58.0,17,21.335929
44.0,17,21.335938
44.0,17,21.335947
58.0,17,21.829102
58.0,17,21.829179
26.0,17,21.82919
26.0,17,21.829197
80.0,17,21.829204
48.0,17,21.829211
80.0,17,21.829219
26.0,17,21.829226
18.0,17,22.331378
44.0,17,22.331488
36.0,17,22.331497
48.0,17,22.331504
80.0,17,22.331521
40.0,17,22.331528
36.0,17,22.331535
66.0,17,22.331542
66.0,17,22.754976
40.0,17,22.755033
48.0,17,22.755046
62.0,17,22.755054
32.0,17,22.755062
58.0,17,22.755084
54.0,17,22.755094
66.0,17,22.755103
32.0,17,23.206927
44.0,17,23.207034
44.0,17,23.20705
26.0,17,23.20706
48.0,17,23.207069
58.0,17,23.207077
32.0,17,23.207087
62.0,17,23.207095
0.0,17,23.711861
80.0,17,23.711994
80.0,17,23.712013
40.0,17,23.712023
66.0,17,23.712031
54.0,17,23.712039
44.0,17,23.712047
48.0,17,23.712055
26.0,17,23.898413
66.0,17,23.898469
66.0,17,23.898484
44.0,17,23.898493
66.0,17,23.8985
40.0,17,23.898509
48.0,17,23.898518
40.0,17,23.898525
26.0,17,24.268899
26.0,17,24.268957
36.0,17,24.268969
58.0,17,24.268979
58.0,17,24.268986
32.0,17,24.268994
40.0,17,24.269003
54.0,17,24.269011
44.0,17,24.653343
58.0,17,24.653416
58.0,17,24.653427
18.0,17,24.653434
48.0,17,24.65344
26.0,17,24.653447
22.0,17,24.653454
48.0,17,24.65346
40.0,17,25.084811
36.0,17,25.084893
58.0,17,25.084903
80.0,17,25.084911
22.0,17,25.084917
62.0,17,25.084924
26.0,17,25.08493
22.0,17,25.084936
54.0,17,25.194214
58.0,17,25.194265
58.0,17,25.194275
26.0,17,25.194282
80.0,17,25.194288
32.0,17,25.194295
66.0,17,25.194304
36.0,17,25.19431
48.0,17,25.230628
14.0,17,25.230671
66.0,17,25.230681
26.0,17,25.230688
40.0,17,25.230695
62.0,17,25.230701
40.0,17,25.230707
44.0,17,25.230714
66.0,17,25.267082
26.0,17,25.267122
44.0,17,25.267131
58.0,17,25.267139
26.0,17,25.267146
48.0,17,25.267152
18.0,17,25.267159
58.0,17,25.267165
62.0,17,25.303602
44.0,17,25.303641
48.0,17,25.303651
32.0,17,25.303658
14.0,17,25.303666
54.0,17,25.303672
58.0,17,25.303678
26.0,17,25.303685
66.0,17,25.338646
66.0,17,25.338684
36.0,17,25.338692
26.0,17,25.338699
62.0,17,25.338706
44.0,17,25.338712
26.0,17,25.338718
54.0,17,25.338724
44.0,17,25.383858
18.0,17,25.383904
48.0,17,25.383915
48.0,17,25.383924
62.0,17,25.383932
26.0,17,25.38394
48.0,17,25.383949
44.0,17,25.383957
40.0,17,25.425653
18.0,17,25.425699
44.0,17,25.42571
66.0,17,25.425719
66.0,17,25.425727
36.0,17,25.425735
14.0,17,25.425742
58.0,17,25.42575
48.0,17,25.455953
58.0,17,25.455992
80.0,17,25.456003
26.0,17,25.456012
48.0,17,25.45602
44.0,17,25.456028
58.0,17,25.456035
62.0,17,25.456043
44.0,17,25.492215
54.0,17,25.492255
14.0,17,25.492268
44.0,17,25.492277
32.0,17,25.492285
44.0,17,25.492293
48.0,17,25.492301
18.0,17,25.492309
26.0,17,25.528613
54.0,17,25.528654
62.0,17,25.528667
58.0,17,25.528676
36.0,17,25.528684
48.0,17,25.528692
54.0,17,25.528699
66.0,17,25.528708
48.0,17,25.556908
62.0,17,25.556947
48.0,17,25.556961
80.0,17,25.556971
66.0,17,25.556979
32.0,17,25.556988
36.0,17,25.556996
66.0,17,25.557003
44.0,17,25.586084
44.0,17,25.586123
48.0,17,25.586136
66.0,17,25.586146
44.0,17,25.586154
26.0,17,25.586162
66.0,17,25.586169
26.0,17,25.586177
44.0,17,25.614929
26.0,17,25.614966
44.0,17,25.61498
66.0,17,25.614989
58.0,17,25.614997
26.0,17,25.615005
54.0,17,25.615012
22.0,17,25.61502
48.0,17,25.641514
36.0,17,25.641547
48.0,17,25.641555
40.0,17,25.641561
26.0,17,25.641566
40.0,17,25.641571
44.0,17,25.641575
58.0,17,25.641586
54.0,17,26.097363
14.0,17,26.097422
26.0,17,26.097436
66.0,17,26.097447
58.0,17,26.097456
62.0,17,26.097464
54.0,17,26.097472
32.0,17,26.09748
14.0,17,26.665735
40.0,17,26.665814
44.0,17,26.665825
66.0,17,26.665835
58.0,17,26.665844
44.0,17,26.665854
44.0,17,26.665862
62.0,17,26.665869
40.0,17,27.182518
62.0,17,27.182657
36.0,17,27.182672
36.0,17,27.182682
44.0,17,27.18269
40.0,17,27.182698
66.0,17,27.182706
26.0,17,27.182714
40.0,17,27.756175
32.0,17,27.756256
40.0,17,27.756273
44.0,17,27.756282
58.0,17,27.756291
66.0,17,27.756299
26.0,17,27.756307
48.0,17,27.756315
26.0,17,28.22174
26.0,17,28.221836
66.0,17,28.221851
26.0,17,28.221861
40.0,17,28.221868
62.0,17,28.221876
18.0,17,28.221884
32.0,17,28.221891
40.0,17,28.70717
36.0,17,28.707239
58.0,17,28.707249
44.0,17,28.707256
40.0,17,28.707263
32.0,17,28.70727
48.0,17,28.707278
80.0,17,28.707285
26.0,17,29.159768
44.0,17,29.159824
40.0,17,29.159837
32.0,17,29.159846
44.0,17,29.159854
26.0,17,29.159862
58.0,17,29.159869
40.0,17,29.159878
40.0,17,29.671245
58.0,17,29.671331
26.0,17,29.671341
26.0,17,29.671349
48.0,17,29.671355
32.0,17,29.671362
44.0,17,29.671368
32.0,17,29.671375
44.0,17,30.179234
58.0,17,30.179295
54.0,17,30.179307
80.0,17,30.179317
40.0,17,30.179325
62.0,17,30.179332
32.0,17,30.179341
54.0,17,30.17935
32.0,17,30.635948
44.0,17,30.636029
26.0,17,30.636045
80.0,17,30.636054
44.0,17,30.636062
40.0,17,30.636069
48.0,17,30.636077
14.0,17,30.636085
48.0,17,31.13854
48.0,17,31.138632
62.0,17,31.138645
62.0,17,31.138654
36.0,17,31.138661
40.0,17,31.138669
48.0,17,31.138677
48.0,17,31.138685
44.0,17,31.542799
62.0,17,31.542855
26.0,17,31.542866
36.0,17,31.542874
26.0,17,31.542882
58.0,17,31.54289
40.0,17,31.542897
58.0,17,31.542905
48.0,17,32.037534
62.0,17,32.037612
44.0,17,32.037627
40.0,17,32.037636
14.0,17,32.037644
66.0,17,32.037652
32.0,17,32.03766
62.0,17,32.037669
40.0,17,32.508164
44.0,17,32.508221
40.0,17,32.508236
58.0,17,32.508245
26.0,17,32.508254
14.0,17,32.508261
40.0,17,32.508268
58.0,17,32.508276
18.0,17,32.993503
58.0,17,32.9936
80.0,17,32.993615
40.0,17,32.993624
26.0,17,32.993633
